epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,382.654,3.39545,5.29207,0.00689,0.51123,0.17542,0.1626,0.06908,2.74163,10.712,0.00494,0.000475878,0.000475878,0.000475878
2,732.402,2.90046,3.3741,0.00488,0.52461,0.22966,0.26664,0.12666,2.52991,2.69557,0.00429,0.000951566,0.000951566,0.000951566
3,1078.8,2.80604,2.85801,0.00444,0.79672,0.26267,0.30158,0.14902,2.42823,2.68198,0.00397,0.00142467,0.00142467,0.00142467
4,1426.96,2.67014,2.61456,0.00428,0.62508,0.27612,0.31149,0.16446,2.37099,2.51462,0.0039,0.00142029,0.00142029,0.00142029
5,1786.25,2.61397,2.4408,0.00397,0.37265,0.34989,0.33284,0.17144,2.33455,2.3334,0.00375,0.00141354,0.00141354,0.00141354
6,2143.12,2.56563,2.33818,0.00386,0.36169,0.37496,0.35632,0.18632,2.32978,2.17733,0.00369,0.0014049,0.0014049,0.0014049
7,2492.45,2.50256,2.28776,0.00381,0.36364,0.37733,0.35536,0.19191,2.25062,2.16625,0.00355,0.00139438,0.00139438,0.00139438
8,2843.93,2.47838,2.27267,0.0037,0.63512,0.35983,0.38622,0.2019,2.1905,2.18664,0.00356,0.00138202,0.00138202,0.00138202
9,3195.69,2.44446,2.19877,0.00361,0.42787,0.39029,0.38137,0.20056,2.19282,2.07548,0.00344,0.00136785,0.00136785,0.00136785
10,3542.75,2.40628,2.14481,0.00355,0.42244,0.4084,0.37905,0.20529,2.15435,1.99437,0.00341,0.0013519,0.0013519,0.0013519
11,3894.87,2.41311,2.10915,0.00343,0.43668,0.41851,0.39297,0.20953,2.16592,1.95513,0.00343,0.00133423,0.00133423,0.00133423
12,4248.23,2.3738,2.06054,0.00351,0.45156,0.42217,0.40796,0.21919,2.14622,1.9127,0.00334,0.00131488,0.00131488,0.00131488
13,4599.25,2.3419,2.05074,0.00344,0.44394,0.4345,0.40944,0.2211,2.13334,1.92089,0.0033,0.00129391,0.00129391,0.00129391
14,4953.17,2.31173,1.97999,0.00326,0.44131,0.45934,0.42142,0.23018,2.06296,1.90167,0.00321,0.00127136,0.00127136,0.00127136
15,5303.89,2.32323,1.99333,0.00335,0.44523,0.42889,0.41617,0.23244,2.08571,1.88322,0.00322,0.00124731,0.00124731,0.00124731
16,5655.43,2.28734,1.94713,0.00333,0.469,0.46449,0.43603,0.23263,2.08881,1.86451,0.00325,0.00122182,0.00122182,0.00122182
17,6007.81,2.2821,1.95745,0.00321,0.46438,0.48518,0.43283,0.23071,2.05942,2.05167,0.0032,0.00119496,0.00119496,0.00119496
18,6356.7,2.24796,1.91393,0.00322,0.44774,0.45974,0.40945,0.22587,2.08189,1.95622,0.00326,0.0011668,0.0011668,0.0011668
19,6706.3,2.24751,1.88089,0.00313,0.47663,0.46917,0.43526,0.24411,2.04277,1.75132,0.00306,0.00113742,0.00113742,0.00113742
20,7052.45,2.23468,1.86073,0.00316,0.50608,0.44914,0.42039,0.22916,2.09828,2.13042,0.0032,0.0011069,0.0011069,0.0011069
21,7395.59,2.22055,1.82142,0.00315,0.47753,0.47344,0.44824,0.24698,2.03128,1.7457,0.00308,0.00107532,0.00107532,0.00107532
22,7752.55,2.22914,1.80022,0.00307,0.52703,0.48504,0.4565,0.25321,1.98991,1.73284,0.00296,0.00104278,0.00104278,0.00104278
23,8102.96,2.21602,1.79831,0.00306,0.48983,0.51529,0.47049,0.25524,2.00295,1.67839,0.00306,0.00100935,0.00100935,0.00100935
24,8448.93,2.1871,1.79425,0.00308,0.48504,0.51258,0.46549,0.255,2.02031,1.69874,0.00313,0.000975138,0.000975138,0.000975138
25,8791.02,2.17893,1.76727,0.00302,0.5135,0.50239,0.46931,0.25762,2.00828,1.69243,0.00305,0.00094023,0.00094023,0.00094023
26,9139.55,2.16845,1.72316,0.003,0.52695,0.51051,0.47672,0.26207,1.99064,1.67559,0.00298,0.000904722,0.000904722,0.000904722
27,9488.36,2.17469,1.74046,0.00298,0.50593,0.52208,0.47306,0.26167,1.97878,1.68917,0.00301,0.000868712,0.000868712,0.000868712
28,9833.66,2.15911,1.72105,0.00302,0.51135,0.4986,0.47152,0.25905,1.99227,1.67692,0.00296,0.0008323,0.0008323,0.0008323
29,10170.9,2.14945,1.71247,0.00292,0.52439,0.53147,0.48771,0.26147,1.98506,1.65934,0.00298,0.000795584,0.000795584,0.000795584
30,10514.4,2.14745,1.69211,0.00295,0.5171,0.50654,0.47922,0.26282,1.96453,1.64067,0.00291,0.000758665,0.000758665,0.000758665
31,10863.1,2.14961,1.67772,0.00288,0.54171,0.52186,0.49153,0.26966,1.95136,1.6409,0.00288,0.000721645,0.000721645,0.000721645
32,11204.7,2.11564,1.67686,0.0029,0.51253,0.5327,0.48887,0.27214,1.93575,1.60347,0.00286,0.000684625,0.000684625,0.000684625
